parameter,n_eff
"starter_vs_spec[2,3]",5082.79304352744
"starter_vs_spec[2,4]",4187.84416277368
"starter_vs_spec[2,5]",4035.52894460308
"starter_vs_spec[2,6]",4680.51665736566
"starter_vs_spec[2,7]",4748.59323686208
"starter_vs_spec[2,8]",4455.71311753143
"starter_vs_spec[2,9]",4672.22513312638
"starter_vs_spec[2,10]",4063.21815506409
"starter_vs_spec[2,11]",4283.46242444408
"starter_vs_spec[2,12]",3795.47299180696
"starter_vs_spec[2,13]",5141.14428612052
"starter_vs_spec[2,14]",4878.74941754065
"starter_vs_spec[2,15]",5025.77925633358
"starter_vs_spec[2,16]",4640.25655297309
"starter_vs_spec[2,17]",3870.8161252701
"starter_vs_spec[2,18]",4357.23998053345
"starter_vs_spec[2,19]",5091.08397511163
"starter_vs_spec[2,20]",5166.13799043864
"starter_vs_spec[3,1]",4187.79256112542
"starter_vs_spec[3,2]",4420.79615848269
"starter_vs_spec[3,3]",4594.89164001718
"starter_vs_spec[3,4]",3994.9170416151
"starter_vs_spec[3,5]",4338.82109299312
"starter_vs_spec[3,6]",4072.58328088212
"starter_vs_spec[3,7]",4194.14680423845
"starter_vs_spec[3,8]",4809.97304934646
"starter_vs_spec[3,9]",4307.91064018271
"starter_vs_spec[3,10]",4027.01673227316
"starter_vs_spec[3,11]",4460.05081275505
"starter_vs_spec[3,12]",3339.26161040674
"starter_vs_spec[3,13]",4869.65327814711
"starter_vs_spec[3,14]",3732.33130554228
"starter_vs_spec[3,15]",4339.32004675503
"starter_vs_spec[3,16]",4014.35894594476
"starter_vs_spec[3,17]",4148.49882232048
"starter_vs_spec[3,18]",4661.27931467868
"starter_vs_spec[3,19]",4425.33755121467
"starter_vs_spec[3,20]",3825.26855359596
"starter_vs_spec[4,1]",4137.64026718635
"starter_vs_spec[4,2]",5171.81294324612
"starter_vs_spec[4,3]",4615.41745954149
"starter_vs_spec[4,4]",3863.56252764901
